review,sentiment
"""The Cell"" is an exotic masterpiece, a dizzying journey not only in the vast minds of a serial killer, but also in the minds of a very talented director. It is conclusive proof of what can be achieved if human beings release their inhibited imagination. It is the audacity at work, pushing thoughts to fall into formulas and clichés and create something really beautiful. It is the best film from the year to this day.<br /><br />I have read many complaints about this film, anywhere in any style and style. ""The Cell"" has just opened the door to another world of imagination. So, can we slam the door into his face and tell him, as well as his director Tarsem Singh, that we no longer want to? Personally, I would rather than host another Tarsem movie, and I would like to see someone try to challenge him.<br /><br />We all have I've heard of going into the spirit of a serial killer, and yes, I agree that the ""gender"" is a little overworked. The 90s were full of movies trying to portray what makes the serial tick killers; some of them worked, but the most failed. But ""The Cell"" didn't get on the same track, we were given a new twist, we are physically transported in the mind and presented with nothing less than a fascinating journey of the most mysterious subject ever studied.<br /><br />I like how the film doesn't push us. It's true, I like the explanations with my films, but when a movie ventures on a new field, you have to let it do it. I noticed that the film was very dark when it showed reality, perhaps to contrast the bright visuals inside the brain of another. Nevertheless, the scenery was simply amazing. I wouldn't be surprised if this film brought back some Oscars in cinematography, the best costumes, the best directors and others. If it was mine that he would at least be named for the best image.<br /><br />I noticed that I kind of repeated myself. Not because there is nothing else If you enter the film with a very open mind and to make it take over with wonders and a breathtaking feast, then you are assured of a good moment. I guess this film was just a little too much for some people, writing it as ""bad"" or ""browsing"". I am a lot in the psychology and imagination of the human mind, so it was just down my alley. I left the theater, I heard a member of the audience say ""Whoever made this film If so, I want what he smoked.<br /><br />**** (of 4)",positive
"This film has tried to be too many things at the same time: stinging political satire, Hollywood blockbuster, sapous romantic comedy, family promo... the list continues and continues. It has failed miserably to all, but there was enough interest to prevent me from extinguishing it until the end.<br /><br />Although I appreciate the spirit behind WAR, INC., it depresses me to see such a clumsy effort, especially when it will be taken by its targets to reflect the absence of a serious criticism, rather than of simply the bad writing, the bad direction and the production of this particular film.<br /><br />There is a criticism to be made about the corporatization of the war. But having fun there in this way diminishes the true atrocity of what is happening.",negative
"This film was so frustrating. Everything seemed energetic and I was totally ready to have a good time. I thought at least that I could handle it. But, I was wrong. First, the weird loop? It was like watching ""America's Funniest Home Videos"". The damned parents. I hated them so much. The stereotypical Latino family? I need to talk to the person responsible for it. We need to have a conversation. This little girl who was always hanging on to someone? I hated her and I had to mention it. Now, the final The scene transcends, I must say. It is so gloriously bad and full of malice that it is a clean film. What a shitty dance. Horrible and beautiful at the same time.",negative
"The 'War movie' is a Hollywood genre that has been made and reworked so often that dialogue with clichés, the redesigned plot and the action sequences on the top seem inevitable for any conflict related to large-scale fighting. However, a war film sometimes arrives against the grain and gives life to a truly original and convincing story on the silver screen. A war film is not quite right. True, the film opens with a quick and dirty battle sequence that puts ""Glory"" the director Edward Zwick ashamed. However, ""Cold Mountain"" is not so much about the civil war itself as it is about the period and the people of the time. The story focuses around Confederate soldier discontented Inman, played by Jude Law, who becomes disgusted by the horrible war and the evil of the country for the beautiful hamlet of Cold Mountain, North Carolina and the At first glance, this configuration appears formulaous since the romantic interest of returning home gives the public enough sympathy for the reticent soldier's tribulation on the battlefield. Indeed, the anterior segments of the film are relatively unimpressive and even somewhat contrived.<br /><br />""Cold Mountain"" soon takes a radical turn, although, as the intrepid hero Inman turns out to be a deserter (save occasionally the At the same time, at the farm, Ada's cultivated means prove to be of little use in the fields; soon it becomes a wild beast. Coming to the rescue of Ada is the course, hard as the Ruby Thewes nails, played by Renée Zellweger, who helps Ada to put the farm back together and, perhaps more importantly, to face the loneliness and isolation that the war seems to have caused. Ada.<br /><br />In these two contexts, a living, convincing and sometimes very troubling portrait of the war-torn South takes place. The characters with which Inman and Ada interact are surprisingly complex, enriched by the wonderful performances of Brendan Gleeson as Ruby's father, Ray Winstone as an impenitent ""lawman"" of the South, and Natalie Portman as a young mother deeply troubled and isolated. The dark, invading message against the war, accentuated by an effective score, haunting and beautiful clichés from Virginia and North Carolina, is communicated to the public not so much by horrific battle scenes as by the scarlet land and the traumatized people for whom the war was fought. Although the weapons and tactics of the war itself have changed a lot over the last century, it is infernal effect on the earth is timelessly relevant.<br /><br />Director Anthony Minghella manages to maintain this dark mood for most The love story between Inman and Ada is clinging clinging clinging to the beginning and the end of the film, although the intrinsically distant, abstract and even absurd nature of their relationship in a way corresponds to the lamentable nature of the rest of the plot.<br /><br />Don't make a mistake, ""Cold Mountain"" has neither the traits of sentimental romance nor an inspiring war drama. is a unique vision of an era that is sure not only to entertain, but also to truly absorb the public in the life of a war-torn people and very desperate to be rid of its terrible repercussions.",positive
"Edward Dmytryk's Crossfire is a distinctive thriller of suspense, an unlikely ""message"" film using the look and devices of the black cycle.<br /><br />Bivouacked in Washington, DC, a company of soldiers face their agitation hanging in bars. Three of them end up in a foreign apartment where Robert Ryan, drunk and belligerent, beat their host (Sam Levene) to death because he happens to be Jewish. Mitchum, who is assigned to Ryan's outfit. Suspicion falls on the second of the three (George Cooper), who disappeared. Ryan kills the third buddy (Steve Brodie) to ensure his silence before Young ends in it.<br /><br />Friended by a superior script by John Paxton, Dmytryk draws precise performances from his three stars Bobs. Ryan, of course, makes his prototypic Angry White Male (and at the hilet), while Mitchum subjoue with his characteristic nonchalance alert (his role, however, is not central); Younger may never have been better. Gloria Grahame gives him the first complete rendering of the intelligent and vulnerable tramp, and, like a sad bag that is wrapped in his life, Paul Kelly haunts us in a small peripheral role that he makes memorable.<br /><br />The politically engaged Dmytryk may inevitably succumb to preaching, but it is rather limited to Young's reminisence of how his Irish grandfather died in the hands of bigotes a century earlier (so, by chance, stretching chronology At least there is no attempt to explain, however glib, why Ryan hates the Jews (and the hillbillies and...).<br /><br />Sorry, Crossfire survives even the major change that he brought - the novel on which he is based (Richard Brooks' The Brick Foxhole) referred to a gay-blasing murder. But homosexuality in 1947 was still beyond the Pale. Anti-Semitism (studios always shake off the prospect of offending any potential buyer of tickets).<br /><br />But although the transition from homophobia to anti-Semitism generally works, the details are not so good. The victim chats with a young soldier alone, drunk, then invites him to his home seems strange, even though (or especially since) there is a girlfriend in the towing. This raises the question whether this scenario was inadvertently retained or left in as a discrete pipe to the original engine. Generating Ryan's murderous rage.",positive
"""Ardh Satya"" is one of the best films ever made in Indian cinema. Directed by the great director Govind Nihalani, this one is the most successful Hard Hitting Parallel Cinema that has also proved to be a commercial success. Even today, Ardh Satya is an inspiration for all the main directors of India.<br /><br />The film tells the real story of the Mumbai police of the 1970s. The film describes the story of Anand Velankar, a young hot-blooded cop from a poor family. His father is a severe police officer. Anand himself suffers from his father's ideologies and the impact of his father's atrocities on his mother. Anand's approach to immediate action against crime is an inert desire for his own satisfaction at work. In a lot where Anand's constant efforts against crime are trampled by his elders, which leads to frustrations, as he cannot reach the desired Job-satisfied. Given the frustrations, his anger is expressed by excessive violence in the remand rooms and bars, also making him alcoholic.<br /><br />The Spirit in him is still alive, while he constantly fights the system. He is aware of the metro system, where the police and politicians are inertly associated from afar. Finally, it is suspended.<br /><br />The Direction is a master piece and a very hard core. One of the best memorable scenes is when Anand breaks up in the house of the gangter Underworld Rama Shetty to stop it, followed by a short conversation that is fantastic. In many scenes, the film has moments of hair lifting.<br /><br />The practical approach of Script is a major punch. Alcoholism, Corruption, Political Influence, Courage, Deceptions are all part of Mumbai These aspects are treated brilliantly.<br /><br />Finally, the films belong to the show One man, Om Puri representing Anand Velankar through all his emotions absolutely brilliantly.",positive
"My first exhibition at the Templarios and not a good one. I was excited to find this title among the offers of Anchor Bay Video, which brought us other classic cults such as ""Spider Baby"". The printing quality is excellent, but this only cannot hide the fact that the film is dull mortal. There is an exciting opening sequence in which the villagers demand a terrible revenge on the Templars (& put everything in motion), but everything else in the film is slow, thoughtful and, finally, unfinished. Add insult to injury: the film was nicknamed, not subtitled, as promised on the video jacket.",negative
"One of the most significant quotes of the whole film is delivered halfway by the protagonist, the intermediate mafia Titta Di Girolamo, a physically non-descriptive, middle-aged man from Salerno, South Italy. When we were introduced to him at the beginning of the film, he lived a non-life life in an elegant but sterile hotel in the canton of Switzerland of Italian language for ten years, leading a company that we are gradually introduced. There are employees of the Swiss bank who normally count the money of Di Girolamo who tell him that 10,000 dollars are missing in his usual suitcase full of well piled notes. On the news, he quietly threatens but here his coaxial bank manager to want to close his account. Meanwhile, the spectators tell us that when you bluff, you have to bluff until the end without fear of being caught or appearing ridiculous. He says: you can't bluff for a while and you can't bluff. So halfway, tell the truth. After having ended up doing it - bluffed only halfway and told the truth, and having accepted the consequences of life and finally, love - is exactly the reason behind the beginning of the troubles of Titta Di Girolamo. <br /><br />This first non-sympathetic character, a taciturous man, courteous on the point of 50, a man who will not even respond in kind to maidens and waitresses who say hello and goodbye, becomes at some point someone the viewer cares. At one point in his non-life, Titta decides to feel concerned about the appearance of ""ridicules"". The first half of the film can be described as ""sweet"" by some. It reveals in fact the days and nights of Di Girolamo in this hotel at a strangely disconcerted, deliberate rhythm, revealing seemingly banal and irrelevant details. However, scenes that may have seemed useless reveal how essential they are while this magistrally built and innovative film unfolds before your eyes. Di Girolamo - the man without imagination, identity or life, the insympathic character that you end up loving and feeling when you least thought about doing it - is also transmitted with elegantly edited sequences and a very interesting use of music (a theme by the Scottish group Boards of Canada particularly distinguished). <br /><br /> Never was the contrast between the way Hollywood and Italy treat mafia more in disagreement than since the release of films such as Le Conseguenze dell'Amore or L'Imbalsamatore. Another interesting element was the way the film used the insomnia of the protagonist. Unlike The Machinist (and in a much more explicit way, the film Al Pacino Insomnia), The Conseguenze dell'Amore uses this condition to symbolize a deeper emotional discomfort that has been so deep in the darkness of the unconscious, it is almost impossible to point its cause (if there is one). <br /><br />The young and friendly waitress of the Sofia hotel (played by Olivia Magnani, granddaughter) and the memory of Titta's best friend, a man whom he has not seen for 20 years, unannouncedly provide a small window on the life that Titta finally (although temporarily at the beginning) accepts to watch again. Although it is never explicitly stated, the spectator knows that for a man like Titta, accepting The Consequences of Love will have unimaginable consequences. A film without a single scene of sex or violence, a film that unfolds in its time and does not concede anything to the The expectations of the spectator, Le Conseguenze dell'Amore is a beautiful representative of this quiet and discreet little Renaissance that has taken place in Italian cinema since the decline of Cinecittà in the second half of the 1970s. The world waits for Italy to produce more Il Postino dishes, more films of style La Vita è Bella... neglecting to explore beautiful creations like Le Conseguenze dell'Amore, L'Imbalsamatore and others. Your loss, the world.",positive
"I watched this movie not really expected much, I got it in a package of 5 films, all were pretty terrible in their way for under a fiver so what could I expect? and you know what I was right, they were all terrible, this movie has some (and some stretch) interesting points, the occasional camcorder view is a good touch, the drummer is very like a drummer, that is, boring damned and, well, that's actually the problem is that his just so boring, in what I can only assume was a Trying to build the tension, a lot of nothing happens and when it does its quite fast-finger (I had my thumb on the button fast front, ready to press for most of the movie, but gave a boost) and seriously is the main singer of the band that super looking, because they don't mention half how beautiful it is a hell of many, I thought it looked a little like a meercat, all this and I didn't even mention the killer, I'm not even going to go in, it's just not worth explaining. Anyway, as far as I'm concerned, I'm not even going to go in, it's just not worth explaining. Star and London are pretty much the only reason to watch this and with the exception of London (which was actually quite funny) it wasn't because of their talent as an actor, I certainly saw much worse, but I also saw much better.",negative
"I bought this movie from Blockbuster for $3.00, because it sounded interesting (a little Ranma-esque, with the idea of someone hanging around a skeleton), because there was a cute girl in a mini-skirt on her back, and because there was a Restricted Viewing sticker on it. I thought it would be a sweet or at least sincere story to come of age with a weird indie edge. I was 100% fake. the little violence, and the thing closest to nudity (honestly! I won't often hope it!) is when the girl is in her nightshirt and you see her panties (you see her panties a lot in this movie, because whatever, she wears a miniskirt of some kind). Even anti-religious humor is tamed (and lame, caricatured, incredulous, derived, non-original, and the worst of all not funny in the least--it would be better to listen to Ray Stevens ""Wuld Jesus Wear a Rolex on His Television This would hardly be qualified as PG-13 (it is not noted), but Blockbuster refuses to let anyone under the age of 17 rent this-- as if it were pornographic. Any little child could go in there and rent the edited version of Requiem for a dream, but they insist that Zack and Reba is worse.<br /><br />It's, but not that way.<br /><br /> In a way, it worries me--the only thing that could offend people is the idea of suicide at the beginning. If these two films were rated R only because of the suicidal aspect, then I'm unlikely to turn a story I wrote into a PG-13 film (the main characters are eleven and a half and twelve). Suicide is one of the three main causes of death among teenagers (I think it's number 2), so the chances are that most teenagers have been or will be affected by it.<br /><br /> Just say no to this film, however. 2/10.",negative
"The plot is about the death of little children. Hopper is the one who has to investigate the murders. During the film, it seems that he has some problems with his daughter. In the end, the serial killer gets caught. That's all. But before you discover who dunnites, you have to see some terrible act of all the actors. It's amazing how bad these actors are, including Hopper. I could go on like this but that to a lot of my time.",negative
